Date,Heure,Consommation
2016-01-03,11:00,30204.3
2016-01-03,12:00,30588.3
2016-01-03,13:00,30902.63
2016-01-03,14:00,31056.47
2016-01-03,15:00,30979.53
2016-01-03,16:00,32297.46
2016-01-03,17:00,33462.96
2016-01-03,18:00,33151.03
2016-01-03,19:00,32450.21
2016-01-03,20:00,32093.93
2016-01-03,21:00,31315.16
2016-01-03,22:00,31014.19
2016-01-03,23:00,29462.06
2016-01-04,00:00,27103.09
2016-01-04,01:00,25439.84
2016-01-04,02:00,24395.07
2016-01-04,03:00,23961.03
2016-01-04,04:00,23860.63
2016-01-04,05:00,24418.47
2016-01-04,06:00,25708.59
2016-01-04,07:00,27455.39
2016-01-04,08:00,32982.07
2016-01-04,09:00,37175.84
2016-01-04,10:00,38606.67
2016-01-04,11:00,39659.57
2016-01-04,12:00,38416.32
2016-01-04,13:00,39279.26
2016-01-04,14:00,39661.98
2016-01-04,15:00,39211.0
2016-01-04,16:00,39760.12
2016-01-04,17:00,39633.29
2016-01-04,18:00,37621.41
2016-01-04,19:00,35954.18
2016-01-04,20:00,35114.12
2016-01-04,21:00,34066.4
2016-01-04,22:00,33686.83
2016-01-04,23:00,31733.54
2016-01-05,00:00,29244.38
2016-01-05,01:00,27637.23
2016-01-05,02:00,26335.78
2016-01-05,03:00,25870.23
2016-01-05,04:00,25975.07
2016-01-05,05:00,26318.48
2016-01-05,06:00,27109.29
2016-01-05,07:00,28570.22
2016-01-05,08:00,33106.0
2016-01-05,09:00,36657.12
2016-01-05,10:00,37776.49
2016-01-05,11:00,38664.22
2016-01-05,12:00,37522.11
2016-01-05,13:00,37820.69
2016-01-05,14:00,38086.11
2016-01-05,15:00,37834.89
2016-01-05,16:00,38599.34
2016-01-05,17:00,38669.63
2016-01-05,18:00,36954.78
2016-01-05,19:00,35306.11
2016-01-05,20:00,34301.59
2016-01-05,21:00,33400.82
2016-01-05,22:00,33359.37
2016-01-05,23:00,31629.97
2016-01-06,00:00,29189.27
2016-01-06,01:00,27614.02
2016-01-06,02:00,26578.97
2016-01-06,03:00,25719.19
2016-01-06,04:00,25864.63
2016-01-06,05:00,25918.59
2016-01-06,06:00,27091.94
2016-01-06,07:00,28533.05
2016-01-06,08:00,33203.34
2016-01-06,09:00,36257.22
2016-01-06,10:00,37212.91
2016-01-06,11:00,37844.74
2016-01-06,12:00,36194.13
2016-01-06,13:00,36542.73
2016-01-06,14:00,36847.22
2016-01-06,15:00,36433.88
2016-01-06,16:00,37581.09
2016-01-06,17:00,37304.52
2016-01-06,18:00,35832.0
2016-01-06,19:00,34499.94
2016-01-06,20:00,33670.0
2016-01-06,21:00,32931.12
2016-01-06,22:00,32913.06
2016-01-06,23:00,31450.65
2016-01-07,00:00,28763.95
2016-01-07,01:00,27284.84
2016-01-07,02:00,26321.95
2016-01-07,03:00,25748.49
2016-01-07,04:00,25636.58
2016-01-07,05:00,25932.52
2016-01-07,06:00,26963.74
2016-01-07,07:00,28444.83
2016-01-07,08:00,32804.27
2016-01-07,09:00,35608.3
2016-01-07,10:00,36500.83
2016-01-07,11:00,37350.92
2016-01-07,12:00,35900.99
2016-01-07,13:00,36800.39
2016-01-07,14:00,37376.83
2016-01-07,15:00,37100.43
2016-01-07,16:00,37668.65
2016-01-07,17:00,37906.99
2016-01-07,18:00,35841.62
2016-01-07,19:00,34621.65
2016-01-07,20:00,33784.72
2016-01-07,21:00,32638.14
2016-01-07,22:00,32739.98
2016-01-07,23:00,31092.87
2016-01-08,00:00,28602.02
2016-01-08,01:00,27112.37
2016-01-08,02:00,25975.34
2016-01-08,03:00,25315.55
2016-01-08,04:00,25128.15
2016-01-08,05:00,25356.22
2016-01-08,06:00,26338.72
2016-01-08,07:00,28086.42
2016-01-08,08:00,32702.24
2016-01-08,09:00,35788.17
2016-01-08,10:00,36843.2
2016-01-08,11:00,37140.0
2016-01-08,12:00,34622.56
2016-01-08,13:00,36134.82
2016-01-08,14:00,36555.58
2016-01-08,15:00,36190.41
2016-01-08,16:00,37031.72
2016-01-08,17:00,37773.7
2016-01-08,18:00,35930.69
2016-01-08,19:00,34710.46
2016-01-08,20:00,33907.65
2016-01-08,21:00,33048.69
2016-01-08,22:00,33220.16
2016-01-08,23:00,32021.6
2016-01-09,00:00,29906.93
2016-01-09,01:00,28061.98
2016-01-09,02:00,26808.78
2016-01-09,03:00,25798.8
2016-01-09,04:00,25820.46
2016-01-09,05:00,26035.77
2016-01-09,06:00,26451.24
2016-01-09,07:00,26853.42
2016-01-09,08:00,30627.32
2016-01-09,09:00,33468.25
2016-01-09,10:00,34792.84
2016-01-09,11:00,35382.85
2016-01-09,12:00,34131.49
2016-01-09,13:00,33827.99
2016-01-09,14:00,33524.8
2016-01-09,15:00,32951.39
2016-01-09,16:00,33655.89
2016-01-09,17:00,35045.14
2016-01-09,18:00,34407.27
2016-01-09,19:00,33494.32
2016-01-09,20:00,32624.31
2016-01-09,21:00,32097.79
2016-01-09,22:00,32176.63
2016-01-09,23:00,30760.17
2016-01-10,00:00,28890.37
2016-01-10,01:00,27133.75
2016-01-10,02:00,25656.13
2016-01-10,03:00,24937.87
2016-01-10,04:00,24538.16
2016-01-10,05:00,24616.05
2016-01-10,06:00,24478.14
2016-01-10,07:00,23813.35
2016-01-10,08:00,24676.92
2016-01-10,09:00,26693.26
2016-01-10,10:00,28136.07
2016-01-10,11:00,29059.35
2016-01-10,12:00,28947.35
2016-01-10,13:00,28944.66
2016-01-10,14:00,29089.83
2016-01-10,15:00,29447.75
2016-01-10,16:00,30569.07
2016-01-10,17:00,32006.15
2016-01-10,18:00,31706.26
2016-01-10,19:00,31305.87
2016-01-10,20:00,30870.26
2016-01-10,21:00,30462.79
2016-01-10,22:00,30537.75
2016-01-10,23:00,28857.66
2016-01-11,00:00,27130.75
2016-01-11,01:00,25403.4
2016-01-11,02:00,24452.96
2016-01-11,03:00,23959.85
2016-01-11,04:00,23839.28
2016-01-11,05:00,24358.46
2016-01-11,06:00,25800.81
2016-01-11,07:00,27336.03
2016-01-11,08:00,32683.24
2016-01-11,09:00,35710.94
2016-01-11,10:00,36707.21
2016-01-11,11:00,37289.29
2016-01-11,12:00,35723.2
2016-01-11,13:00,36053.2
2016-01-11,14:00,36383.06
2016-01-11,15:00,36013.19
2016-01-11,16:00,36848.54
2016-01-11,17:00,37368.4
2016-01-11,18:00,35697.3
2016-01-11,19:00,34482.37
2016-01-11,20:00,33526.95
2016-01-11,21:00,32634.16
2016-01-11,22:00,32791.35
2016-01-11,23:00,31147.83
2016-01-12,00:00,29161.64
2016-01-12,01:00,27519.24
2016-01-12,02:00,26256.43
2016-01-12,03:00,25766.11
2016-01-12,04:00,25808.92
2016-01-12,05:00,26222.03
2016-01-12,06:00,27290.07
2016-01-12,07:00,28628.67
2016-01-12,08:00,32817.04
2016-01-12,09:00,34991.32
2016-01-12,10:00,35653.04
2016-01-12,11:00,36011.52
2016-01-12,12:00,34256.45
2016-01-12,13:00,34650.74
2016-01-12,14:00,34934.0
2016-01-12,15:00,34785.11
2016-01-12,16:00,35690.28
2016-01-12,17:00,36566.5
2016-01-12,18:00,35055.97
2016-01-12,19:00,33912.94
2016-01-12,20:00,33131.98
2016-01-12,21:00,32332.76
2016-01-12,22:00,32523.14
2016-01-12,23:00,30906.87
2016-01-13,00:00,28823.02
2016-01-13,01:00,27321.69
2016-01-13,02:00,26265.24
2016-01-13,03:00,25879.07
2016-01-13,04:00,25685.09
2016-01-13,05:00,26018.14
2016-01-13,06:00,27012.72
2016-01-13,07:00,28420.19
2016-01-13,08:00,32572.38
2016-01-13,09:00,35554.83
2016-01-13,10:00,36427.94
2016-01-13,11:00,36962.04
2016-01-13,12:00,35458.54
2016-01-13,13:00,35858.18
2016-01-13,14:00,36201.35
2016-01-13,15:00,36012.25
2016-01-13,16:00,36785.82
2016-01-13,17:00,37173.82
2016-01-13,18:00,35574.06
2016-01-13,19:00,34298.68
2016-01-13,20:00,33580.53
2016-01-13,21:00,32554.09
2016-01-13,22:00,32836.52
2016-01-13,23:00,31307.88
2016-01-14,00:00,29225.99
2016-01-14,01:00,27650.42
2016-01-14,02:00,26656.23
2016-01-14,03:00,26235.1
2016-01-14,04:00,26136.04
2016-01-14,05:00,26689.3
2016-01-14,06:00,27652.89
2016-01-14,07:00,29176.95
2016-01-14,08:00,33352.18
2016-01-14,09:00,35814.77
2016-01-14,10:00,36809.99
2016-01-14,11:00,37010.75
2016-01-14,12:00,35461.46
2016-01-14,13:00,35859.72
2016-01-14,14:00,36279.45
2016-01-14,15:00,35936.67
2016-01-14,16:00,36827.63
2016-01-14,17:00,37481.89
2016-01-14,18:00,36195.39
2016-01-14,19:00,34914.82
2016-01-14,20:00,34091.81
2016-01-14,21:00,33323.9
2016-01-14,22:00,33345.01
2016-01-14,23:00,31938.6
2016-01-15,00:00,29667.03
2016-01-15,01:00,27961.7
2016-01-15,02:00,26760.14
2016-01-15,03:00,26351.43
2016-01-15,04:00,26190.0
2016-01-15,05:00,26646.35
2016-01-15,06:00,27845.52
2016-01-15,07:00,29266.49
2016-01-15,08:00,33637.71
2016-01-15,09:00,36386.28
2016-01-15,10:00,36970.5
2016-01-15,11:00,37103.17
2016-01-15,12:00,34121.26
2016-01-15,13:00,35523.17
2016-01-15,14:00,35717.39
2016-01-15,15:00,35343.51
2016-01-15,16:00,36473.19
2016-01-15,17:00,37425.77
2016-01-15,18:00,36019.98
2016-01-15,19:00,34574.97
2016-01-15,20:00,33756.4
2016-01-15,21:00,33140.33
2016-01-15,22:00,33272.46
2016-01-15,23:00,31803.26
2016-01-16,00:00,29790.9
2016-01-16,01:00,28108.68
2016-01-16,02:00,26867.16
2016-01-16,03:00,26241.31
2016-01-16,04:00,25928.6
2016-01-16,05:00,26137.31
2016-01-16,06:00,26617.72
2016-01-16,07:00,27115.23
2016-01-16,08:00,30856.87
2016-01-16,09:00,33419.96
2016-01-16,10:00,34766.44
2016-01-16,11:00,35336.99
2016-01-16,12:00,34062.01
2016-01-16,13:00,33973.61
2016-01-16,14:00,33592.64
2016-01-16,15:00,33087.78
2016-01-16,16:00,33693.47
2016-01-16,17:00,34599.67
2016-01-16,18:00,33773.4
2016-01-16,19:00,32770.63
2016-01-16,20:00,32167.64
2016-01-16,21:00,31414.53
2016-01-16,22:00,31666.2
2016-01-16,23:00,30292.67
2016-01-17,00:00,28125.56
2016-01-17,01:00,26344.08
2016-01-17,02:00,25233.2
2016-01-17,03:00,24526.4
2016-01-17,04:00,24131.34
2016-01-17,05:00,24277.13
2016-01-17,06:00,24149.15
2016-01-17,07:00,23448.7
2016-01-17,08:00,24484.28
2016-01-17,09:00,26064.26
2016-01-17,10:00,27602.68
2016-01-17,11:00,28719.23
2016-01-17,12:00,28965.99
2016-01-17,13:00,29082.02
2016-01-17,14:00,29060.19
2016-01-17,15:00,28859.44
2016-01-17,16:00,29986.06
2016-01-17,17:00,31083.39
2016-01-17,18:00,31046.2
2016-01-17,19:00,30619.87
2016-01-17,20:00,30216.41
2016-01-17,21:00,29589.83
2016-01-17,22:00,29593.28
2016-01-17,23:00,28448.52
2016-01-18,00:00,26425.24
2016-01-18,01:00,25112.59
2016-01-18,02:00,24197.23
2016-01-18,03:00,23839.79
2016-01-18,04:00,23756.17
2016-01-18,05:00,24217.87
2016-01-18,06:00,25384.09
2016-01-18,07:00,27192.81
2016-01-18,08:00,32775.65
2016-01-18,09:00,36291.76
2016-01-18,10:00,37563.39
2016-01-18,11:00,38417.27
2016-01-18,12:00,37351.08
2016-01-18,13:00,37971.52
2016-01-18,14:00,38264.2
2016-01-18,15:00,37831.23
2016-01-18,16:00,38590.57
2016-01-18,17:00,38930.54
2016-01-18,18:00,37080.02
2016-01-18,19:00,35590.81
2016-01-18,20:00,34669.59
2016-01-18,21:00,33765.0
2016-01-18,22:00,33590.16
2016-01-18,23:00,32035.19
2016-01-19,00:00,29648.05
2016-01-19,01:00,28023.28
2016-01-19,02:00,26957.35
2016-01-19,03:00,26389.7
2016-01-19,04:00,26152.72
2016-01-19,05:00,26578.69
2016-01-19,06:00,27561.29
2016-01-19,07:00,29127.56
2016-01-19,08:00,34277.14
2016-01-19,09:00,37597.73
2016-01-19,10:00,38680.75
2016-01-19,11:00,39329.86
2016-01-19,12:00,37912.15
2016-01-19,13:00,38232.32
2016-01-19,14:00,38431.48
2016-01-19,15:00,37914.67
2016-01-19,16:00,38254.38
2016-01-19,17:00,39006.28
2016-01-19,18:00,37419.61
2016-01-19,19:00,35893.88
2016-01-19,20:00,35024.97
2016-01-19,21:00,34132.03
2016-01-19,22:00,34201.22
2016-01-19,23:00,32449.57
2016-01-20,00:00,30139.5
2016-01-20,01:00,28410.88
2016-01-20,02:00,27406.34
2016-01-20,03:00,26722.59
2016-01-20,04:00,26551.26
2016-01-20,05:00,27065.87
2016-01-20,06:00,28039.32
2016-01-20,07:00,29469.19
2016-01-20,08:00,34531.37
2016-01-20,09:00,37962.23
2016-01-20,10:00,38993.86
2016-01-20,11:00,39668.13
2016-01-20,12:00,38295.21
2016-01-20,13:00,38719.27
2016-01-20,14:00,39016.83
2016-01-20,15:00,38583.86
2016-01-20,16:00,39061.14
2016-01-20,17:00,39678.86
2016-01-20,18:00,37842.79
2016-01-20,19:00,36242.08
2016-01-20,20:00,35265.5
2016-01-20,21:00,34442.99
2016-01-20,22:00,34423.91
2016-01-20,23:00,32661.51
2016-01-21,00:00,30396.19
2016-01-21,01:00,28597.47
2016-01-21,02:00,27458.63
2016-01-21,03:00,26728.84
2016-01-21,04:00,26819.66
2016-01-21,05:00,27295.21
2016-01-21,06:00,28233.77
2016-01-21,07:00,29534.69
2016-01-21,08:00,34553.08
2016-01-21,09:00,37885.31
2016-01-21,10:00,39233.35
2016-01-21,11:00,39895.48
2016-01-21,12:00,38431.05
2016-01-21,13:00,37369.73
2016-01-21,14:00,38991.04
2016-01-21,15:00,38424.45
2016-01-21,16:00,38816.1
2016-01-21,17:00,39201.65
2016-01-21,18:00,37540.47
2016-01-21,19:00,36208.77
2016-01-21,20:00,35321.99
2016-01-21,21:00,34453.4
2016-01-21,22:00,34506.7
2016-01-21,23:00,32959.37
2016-01-22,00:00,30389.96
2016-01-22,01:00,28517.31
2016-01-22,02:00,27397.27
2016-01-22,03:00,26696.24
2016-01-22,04:00,26636.34
2016-01-22,05:00,27118.79
2016-01-22,06:00,28127.63
2016-01-22,07:00,29345.05
2016-01-22,08:00,34622.14
2016-01-22,09:00,38179.81
2016-01-22,10:00,39032.97
2016-01-22,11:00,39070.85
2016-01-22,12:00,36760.5
2016-01-22,13:00,38030.5
2016-01-22,14:00,38467.93
2016-01-22,15:00,38201.49
2016-01-22,16:00,38866.07
2016-01-22,17:00,39255.53
2016-01-22,18:00,37130.41
2016-01-22,19:00,35315.89
2016-01-22,20:00,34779.35
2016-01-22,21:00,33927.07
2016-01-22,22:00,34209.59
2016-01-22,23:00,32617.78
2016-01-23,00:00,30215.9
2016-01-23,01:00,28509.74
2016-01-23,02:00,27311.13
2016-01-23,03:00,26492.04
2016-01-23,04:00,26476.82
2016-01-23,05:00,26720.3
2016-01-23,06:00,27058.22
2016-01-23,07:00,27679.17
2016-01-23,08:00,31739.43
2016-01-23,09:00,35066.08
2016-01-23,10:00,36711.4
2016-01-23,11:00,37728.02
2016-01-23,12:00,36953.27
2016-01-23,13:00,36764.38
2016-01-23,14:00,36555.0
2016-01-23,15:00,35898.79
2016-01-23,16:00,35913.32
2016-01-23,17:00,36651.18
2016-01-23,18:00,35931.07
2016-01-23,19:00,34781.15
2016-01-23,20:00,33951.8
2016-01-23,21:00,33131.48
2016-01-23,22:00,33030.06
2016-01-23,23:00,31630.82
2016-01-24,00:00,29349.49
2016-01-24,01:00,27479.98
2016-01-24,02:00,26088.26
2016-01-24,03:00,25306.03
2016-01-24,04:00,24973.17
2016-01-24,05:00,25001.94
2016-01-24,06:00,24899.46
2016-01-24,07:00,24158.93
2016-01-24,08:00,25160.11
2016-01-24,09:00,27120.55
2016-01-24,10:00,29164.35
2016-01-24,11:00,30598.84
2016-01-24,12:00,31038.39
2016-01-24,13:00,31165.89
2016-01-24,14:00,31103.8
2016-01-24,15:00,30750.5
2016-01-24,16:00,31481.16
2016-01-24,17:00,32712.77
2016-01-24,18:00,32774.93
2016-01-24,19:00,32341.26
2016-01-24,20:00,31820.1
2016-01-24,21:00,31160.32
2016-01-24,22:00,31284.85
2016-01-24,23:00,30005.39
2016-01-25,00:00,28167.47
2016-01-25,01:00,26516.66
2016-01-25,02:00,25339.39
2016-01-25,03:00,24773.74
2016-01-25,04:00,24711.58
2016-01-25,05:00,25145.67
2016-01-25,06:00,26151.07
2016-01-25,07:00,27508.65
2016-01-25,08:00,33542.39
2016-01-25,09:00,37790.78
2016-01-25,10:00,39415.28
2016-01-25,11:00,40659.5
2016-01-25,12:00,39734.37
2016-01-25,13:00,39915.73
2016-01-25,14:00,40025.6
2016-01-25,15:00,39686.93
2016-01-25,16:00,39815.53
2016-01-25,17:00,40446.48
2016-01-25,18:00,38716.68
2016-01-25,19:00,36907.14
2016-01-25,20:00,35987.8
2016-01-25,21:00,34823.23
2016-01-25,22:00,34860.72
2016-01-25,23:00,33253.8
2016-01-26,00:00,30881.56
2016-01-26,01:00,28955.47
2016-01-26,02:00,27835.79
2016-01-26,03:00,27148.96
2016-01-26,04:00,27041.24
2016-01-26,05:00,27397.01
2016-01-26,06:00,28184.65
2016-01-26,07:00,29740.52
2016-01-26,08:00,34727.66
2016-01-26,09:00,38316.26
2016-01-26,10:00,39646.19
2016-01-26,11:00,40747.33
2016-01-26,12:00,39854.57
2016-01-26,13:00,40323.2
2016-01-26,14:00,40809.82
2016-01-26,15:00,40425.55
2016-01-26,16:00,40706.38
2016-01-26,17:00,40871.83
2016-01-26,18:00,38346.97
2016-01-26,19:00,37053.91
2016-01-26,20:00,36025.46
2016-01-26,21:00,34954.0
2016-01-26,22:00,35129.39
2016-01-26,23:00,33279.95
2016-01-27,00:00,30851.33
2016-01-27,01:00,29091.24
2016-01-27,02:00,27798.4
2016-01-27,03:00,27168.26
2016-01-27,04:00,27068.64
2016-01-27,05:00,27445.32
2016-01-27,06:00,28126.89
2016-01-27,07:00,29262.17
2016-01-27,08:00,34507.12
2016-01-27,09:00,38182.21
2016-01-27,10:00,39515.5
2016-01-27,11:00,40285.67
2016-01-27,12:00,39010.88
2016-01-27,13:00,39212.13
2016-01-27,14:00,39313.51
2016-01-27,15:00,38772.92
2016-01-27,16:00,39181.11
2016-01-27,17:00,39959.57
2016-01-27,18:00,38519.91
2016-01-27,19:00,36987.53
2016-01-27,20:00,36007.95
2016-01-27,21:00,34975.54
2016-01-27,22:00,34932.33
2016-01-27,23:00,33455.88
2016-01-28,00:00,31143.68
2016-01-28,01:00,29167.57
2016-01-28,02:00,28046.68
2016-01-28,03:00,27405.39
2016-01-28,04:00,27173.93
2016-01-28,05:00,27536.99
2016-01-28,06:00,28220.87
2016-01-28,07:00,29395.45
2016-01-28,08:00,34668.6
2016-01-28,09:00,38415.12
2016-01-28,10:00,39675.51
2016-01-28,11:00,40319.9
2016-01-28,12:00,39018.31
2016-01-28,13:00,39270.74
2016-01-28,14:00,39536.37
2016-01-28,15:00,38936.48
2016-01-28,16:00,39101.1
2016-01-28,17:00,39566.36
2016-01-28,18:00,38081.88
2016-01-28,19:00,36504.46
2016-01-28,20:00,35585.73
2016-01-28,21:00,34747.11
2016-01-28,22:00,34799.91
2016-01-28,23:00,33343.43
2016-01-29,00:00,30705.61
2016-01-29,01:00,29000.54
2016-01-29,02:00,27852.55
2016-01-29,03:00,27163.15
2016-01-29,04:00,26971.99
2016-01-29,05:00,27348.29
2016-01-29,06:00,28077.26
2016-01-29,07:00,29062.07
2016-01-29,08:00,34246.13
2016-01-29,09:00,37629.5
2016-01-29,10:00,38829.98
2016-01-29,11:00,39156.33
2016-01-29,12:00,36331.58
2016-01-29,13:00,37423.51
2016-01-29,14:00,37475.87
2016-01-29,15:00,36826.0
2016-01-29,16:00,37285.78
2016-01-29,17:00,38110.44
2016-01-29,18:00,36981.81
2016-01-29,19:00,35496.45
2016-01-29,20:00,34642.81
2016-01-29,21:00,33771.1
2016-01-29,22:00,33922.59
2016-01-29,23:00,32485.51
2016-01-30,00:00,30323.74
2016-01-30,01:00,28528.18
2016-01-30,02:00,27243.18
2016-01-30,03:00,26511.13
2016-01-30,04:00,26199.54
2016-01-30,05:00,26561.03
2016-01-30,06:00,26644.35
2016-01-30,07:00,27009.01
2016-01-30,08:00,30831.9
2016-01-30,09:00,34036.68
2016-01-30,10:00,35450.49
2016-01-30,11:00,36294.06
2016-01-30,12:00,35204.25
2016-01-30,13:00,34932.17
2016-01-30,14:00,34697.06
2016-01-30,15:00,34002.74
2016-01-30,16:00,33457.63
2016-01-30,17:00,34897.48
2016-01-30,18:00,34596.05
2016-01-30,19:00,33538.44
2016-01-30,20:00,32664.18
2016-01-30,21:00,31927.94
2016-01-30,22:00,32124.59
2016-01-30,23:00,30873.86
2016-01-31,00:00,28706.75
2016-01-31,01:00,26941.77
2016-01-31,02:00,25585.39
2016-01-31,03:00,24703.28
2016-01-31,04:00,24305.66
2016-01-31,05:00,24513.61
2016-01-31,06:00,24184.14
2016-01-31,07:00,23444.69
2016-01-31,08:00,24562.25
2016-01-31,09:00,26205.61
2016-01-31,10:00,27970.71
2016-01-31,11:00,28853.94
2016-01-31,12:00,28826.5
2016-01-31,13:00,28634.82
2016-01-31,14:00,28292.65
2016-01-31,15:00,28044.68
2016-01-31,16:00,28601.33
2016-01-31,17:00,30382.97
2016-01-31,18:00,30971.03
2016-01-31,19:00,30457.32
2016-01-31,20:00,29994.27
2016-01-31,21:00,29568.98
2016-01-31,22:00,29905.64
2016-01-31,23:00,28724.98
2016-02-01,00:00,27257.8
2016-02-01,01:00,25692.59
2016-02-01,02:00,24501.95
2016-02-01,03:00,23973.46
2016-02-01,04:00,23854.61
2016-02-01,05:00,24195.66
2016-02-01,06:00,25096.25
2016-02-01,07:00,26488.24
2016-02-01,08:00,32138.83
2016-02-01,09:00,35430.82
2016-02-01,10:00,36883.14
2016-02-01,11:00,37775.08
2016-02-01,12:00,36482.14
2016-02-01,13:00,36700.05
2016-02-01,14:00,36867.22
2016-02-01,15:00,36463.13
2016-02-01,16:00,36574.28
2016-02-01,17:00,36950.55
2016-02-01,18:00,35841.98
2016-02-01,19:00,33929.92
2016-02-01,20:00,33222.59
2016-02-01,21:00,32524.16
2016-02-01,22:00,32777.7
2016-02-01,23:00,31448.4
2016-02-02,00:00,29181.99
2016-02-02,01:00,27440.16
2016-02-02,02:00,26231.65
2016-02-02,03:00,25750.39
2016-02-02,04:00,25515.46
2016-02-02,05:00,25861.8
2016-02-02,06:00,26465.68
2016-02-02,07:00,27424.38
2016-02-02,08:00,32338.9
2016-02-02,09:00,35166.75
2016-02-02,10:00,36050.26
2016-02-02,11:00,36602.85
2016-02-02,12:00,34961.44
2016-02-02,13:00,35184.17
2016-02-02,14:00,35197.86
2016-02-02,15:00,34621.37
2016-02-02,16:00,35052.03
2016-02-02,17:00,35964.28
2016-02-02,18:00,35175.36
2016-02-02,19:00,33898.72
2016-02-02,20:00,32944.57
2016-02-02,21:00,32155.53
2016-02-02,22:00,32433.69
2016-02-02,23:00,31328.75
2016-02-03,00:00,29403.1
2016-02-03,01:00,27547.28
2016-02-03,02:00,26470.24
2016-02-03,03:00,25849.74
2016-02-03,04:00,25612.94
2016-02-03,05:00,26211.19
2016-02-03,06:00,26580.76
2016-02-03,07:00,27701.79
2016-02-03,08:00,32332.22
2016-02-03,09:00,34966.01
2016-02-03,10:00,35632.02
2016-02-03,11:00,35827.64
2016-02-03,12:00,34134.37
2016-02-03,13:00,34451.08
2016-02-03,14:00,34552.97
2016-02-03,15:00,34019.5
2016-02-03,16:00,34285.05
2016-02-03,17:00,35537.85
2016-02-03,18:00,34920.27
2016-02-03,19:00,33690.08
2016-02-03,20:00,32830.28
2016-02-03,21:00,32347.18
2016-02-03,22:00,32398.28
2016-02-03,23:00,31053.25
2016-02-04,00:00,29070.42
2016-02-04,01:00,27531.97
2016-02-04,02:00,26459.15
2016-02-04,03:00,25837.41
2016-02-04,04:00,25797.38
2016-02-04,05:00,26207.09
2016-02-04,06:00,26592.28
2016-02-04,07:00,27471.42
2016-02-04,08:00,32075.39
2016-02-04,09:00,34703.17
2016-02-04,10:00,35456.58
2016-02-04,11:00,36024.55
2016-02-04,12:00,34435.99
2016-02-04,13:00,34769.44
2016-02-04,14:00,35051.95
2016-02-04,15:00,34615.73
2016-02-04,16:00,35406.09
2016-02-04,17:00,36191.46
2016-02-04,18:00,35152.24
2016-02-04,19:00,33830.29
2016-02-04,20:00,33122.71
2016-02-04,21:00,32398.35
2016-02-04,22:00,32638.11
2016-02-04,23:00,31338.38
2016-02-05,00:00,29348.99
2016-02-05,01:00,27702.11
2016-02-05,02:00,26656.83
2016-02-05,03:00,25985.17
2016-02-05,04:00,25870.25
2016-02-05,05:00,26154.31
2016-02-05,06:00,26621.67
2016-02-05,07:00,27516.89
2016-02-05,08:00,32322.93
